name,team,bye,CBSprojected,pos,ESPNprojected,NFLprojected,YAHOOprojected
Darwin Thompson,KC,10,19.3,RB,19.3,19.3,22.3
Justice Hill,BAL,7,19.0,RB,19.0,19.0,21.9
Patrick Laird,MIA,7,14.9,RB,14.9,14.9,19.3
T.J. Yeldon,BUF,11,14.3,RB,14.3,14.3,18.9
Tyler Ervin,GB,5,12.8,RB,12.8,12.8,18.8
Trayveon Williams,CIN,9,12.2,RB,12.2,12.2,15.1
DeeJay Dallas,SEA,6,12.1,RB,12.1,12.1,14.1
Khari Blasingame,TEN,4,11.4,RB,11.4,11.4,13.7
Ke'Shawn Vaughn,TB,13,11.1,RB,11.1,11.1,13.4
D'Ernest Johnson,CLE,9,11.0,RB,11.0,11.0,12.5
Wayne Gallman,NYG,11,10.1,RB,10.1,10.1,11.1
Eno Benjamin,ARI,8,10.0,RB,10.0,10.0,11.0
Ty Montgomery,NO,6,9.7,RB,9.7,9.7,10.5
Buddy Howell,HOU,8,9.5,RB,9.5,9.5,10.2
Jordan Wilkins,IND,7,6.3,RB,6.3,6.3,7.3
Qadree Ollison,ATL,10,5.9,RB,5.9,5.9,6.9
Michael Thomas,NO,6,201.8,WR,201.8,201.8,266.8
Davante Adams,GB,5,192.2,WR,192.2,192.2,242.2
Julio Jones,ATL,10,182.1,WR,182.1,182.1,231.1
Tyreek Hill,KC,10,165.4,WR,165.4,165.4,208.0
Kenny Golladay,DET,5,161.4,WR,161.4,161.4,203.4
DeAndre Hopkins,ARI,8,160.5,WR,160.5,160.5,199.9
Adam Thielen,MIN,7,152.8,WR,152.8,152.8,195.3
Robert Woods,LAR,9,152.3,WR,152.3,152.3,194.1
JuJu Smith-Schuster,PIT,4,152.1,WR,152.1,152.1,193.8
A.J. Brown,TEN,4,151.0,WR,151.0,151.0,189.9
Chris Godwin,TB,13,150.4,WR,150.4,150.4,188.4
DeVante Parker,MIA,7,149.4,WR,149.4,149.4,188.0
Amari Cooper,DAL,10,148.5,WR,148.5,148.5,187.0
Odell Beckham Jr.,CLE,9,147.0,WR,147.0,147.0,186.0
Cooper Kupp,LAR,9,146.6,WR,146.6,146.6,185.6
Tyler Lockett,SEA,6,145.7,WR,145.7,145.7,184.0
Calvin Ridley,ATL,10,144.6,WR,144.6,144.6,183.1
Courtland Sutton,DEN,5,142.6,WR,142.6,142.6,182.7
D.J. Moore,CAR,13,142.5,WR,142.5,142.5,182.2
Mike Evans,TB,13,142.1,WR,142.1,142.1,182.0
Keenan Allen,LAC,6,140.7,WR,140.7,140.7,179.1
Allen Robinson,CHI,11,140.5,WR,140.5,140.5,175.2
T.Y. Hilton,IND,7,138.7,WR,138.7,138.7,175.1
A.J. Green,CIN,9,138.6,WR,138.6,138.6,174.6
DK Metcalf,SEA,6,137.7,WR,137.7,137.7,171.2
D.J. Chark,JAC,8,131.9,WR,131.9,131.9,169.2
Terry McLaurin,WAS,8,131.5,WR,131.5,131.5,167.9
Jarvis Landry,CLE,9,129.5,WR,129.5,129.5,165.0
Michael Gallup,DAL,10,129.5,WR,129.5,129.5,165.0
Julian Edelman,NE,5,128.7,WR,128.7,128.7,160.0
Stefon Diggs,BUF,11,128.0,WR,128.0,128.0,159.0
Tyler Boyd,CIN,9,119.6,WR,119.6,119.6,156.1
Brandin Cooks,HOU,8,119.3,WR,119.3,119.3,152.8
Marquise Brown,BAL,7,119.1,WR,119.1,119.1,151.1
Jamison Crowder,NYJ,10,113.5,WR,113.5,113.5,151.0
Christian Kirk,ARI,8,111.4,WR,111.4,111.4,144.4
Henry Ruggs III,LV,6,110.2,WR,110.2,110.2,140.3
DeSean Jackson,PHI,9,109.4,WR,109.4,109.4,139.7
Sterling Shepard,NYG,11,107.3,WR,107.3,107.3,136.7
Diontae Johnson,PIT,4,106.9,WR,106.9,106.9,135.9
Marvin Jones,DET,5,106.2,WR,106.2,106.2,135.9
Will Fuller,HOU,8,105.4,WR,105.4,105.4,131.9
John Brown,BUF,11,104.6,WR,104.6,104.6,129.6
Deebo Samuel,SF,11,100.6,WR,100.6,100.6,127.1
Emmanuel Sanders,NO,6,100.1,WR,100.1,100.1,126.6
Anthony Miller,CHI,11,97.1,WR,97.1,97.1,123.6
Golden Tate,NYG,11,95.5,WR,95.5,95.5,122.5
Darius Slayton,NYG,11,94.5,WR,94.5,94.5,118.1
Corey Davis,TEN,4,93.1,WR,93.1,93.1,118.0
Allen Lazard,GB,5,92.5,WR,92.5,92.5,117.6
Curtis Samuel,CAR,13,92.0,WR,92.0,92.0,117.5
Preston Williams,MIA,7,91.5,WR,91.5,91.5,117.5
Michael Pittman Jr.,IND,7,91.1,WR,91.1,91.1,116.5
Mike Williams,LAC,6,88.7,WR,88.7,88.7,115.0
Cole Beasley,BUF,11,88.5,WR,88.5,88.5,111.0
Sammy Watkins,KC,10,85.7,WR,85.7,85.7,109.7
Jerry Jeudy,DEN,5,84.7,WR,84.7,84.7,109.7
CeeDee Lamb,DAL,10,83.6,WR,83.6,83.6,108.7
Danny Amendola,DET,5,80.5,WR,80.5,80.5,105.6
Breshad Perriman,NYJ,10,80.3,WR,80.3,80.3,102.7
Jalen Reagor,PHI,9,80.2,WR,80.2,80.2,101.3
N'Keal Harry,NE,5,77.5,WR,77.5,77.5,99.0
Bryan Edwards,LV,6,77.5,WR,77.5,77.5,98.9
Robby Anderson,CAR,13,77.4,WR,77.4,77.4,98.5
Justin Jefferson,MIN,7,73.5,WR,73.5,73.5,97.0
Larry Fitzgerald,ARI,8,71.5,WR,71.5,71.5,96.0
Mecole Hardman,KC,10,71.5,WR,71.5,71.5,87.9
Parris Campbell,IND,7,68.9,WR,68.9,68.9,86.6
Steven Sims,WAS,8,68.1,WR,68.1,68.1,86.2
Brandon Aiyuk,SF,11,67.5,WR,67.5,67.5,85.1
Hunter Renfrow,LV,6,66.7,WR,66.7,66.7,84.5
Chris Conley,JAC,8,66.6,WR,66.6,66.6,84.2
Tee Higgins,CIN,9,66.2,WR,66.2,66.2,83.5
Russell Gage,ATL,10,61.5,WR,61.5,61.5,82.2
Laviska Shenault,JAC,8,60.7,WR,60.7,60.7,78.0
Randall Cobb,HOU,8,60.2,WR,60.2,60.2,75.6
John Ross,CIN,9,59.1,WR,59.1,59.1,75.2
Kendrick Bourne,SF,11,58.6,WR,58.6,58.6,72.9
Jakeem Grant,MIA,7,56.9,WR,56.9,56.9,72.1
James Washington,PIT,4,53.5,WR,53.5,53.5,71.6
Olabisi Johnson,MIN,7,53.5,WR,53.5,53.5,70.5
Alshon Jeffery,PHI,9,52.4,WR,52.4,52.4,66.5
Adam Humphries,TEN,4,52.1,WR,52.1,52.1,65.9
Marquez Valdes-Scantling,GB,5,49.7,WR,49.7,49.7,64.6
Jakobi Meyers,NE,5,49.6,WR,49.6,49.6,63.7
Miles Boykin,BAL,7,48.5,WR,48.5,48.5,62.4
Van Jefferson,LAR,9,46.9,WR,46.9,46.9,61.0
Kenny Stills,HOU,8,46.5,WR,46.5,46.5,60.9
Josh Reynolds,LAR,9,45.5,WR,45.5,45.5,59.5
Willie Snead,BAL,7,45.5,WR,45.5,45.5,59.0
Phillip Dorsett,SEA,6,44.9,WR,44.9,44.9,58.3
Dede Westbrook,JAC,8,44.4,WR,44.4,44.4,57.9
Chase Claypool,PIT,4,44.2,WR,44.2,44.2,57.5
Keelan Cole,JAC,8,43.3,WR,43.3,43.3,56.2
Tim Patrick,DEN,5,43.3,WR,43.3,43.3,53.8
Dontrelle Inman,WAS,8,40.8,WR,40.8,40.8,53.3
Tre'Quan Smith,NO,6,39.7,WR,39.7,39.7,50.6
Chris Hogan,NYJ,10,39.6,WR,39.6,39.6,49.7
Riley Ridley,CHI,11,37.6,WR,37.6,37.6,48.1
Demarcus Robinson,KC,10,37.5,WR,37.5,37.5,47.4
JJ Arcega-Whiteside,PHI,9,36.9,WR,36.9,36.9,47.0
Zach Pascal,IND,7,36.6,WR,36.6,36.6,47.0
David Moore,SEA,6,36.5,WR,36.5,36.5,46.5
Rashard Higgins,CLE,9,36.5,WR,36.5,36.5,46.1
Joe Reed,LAC,6,36.2,WR,36.2,36.2,45.6
Andy Isabella,ARI,8,36.1,WR,36.1,36.1,45.2
